x,Char_Func_7
0,1
0.005235988,0.56930806
0.010471976,0.105048373
0.015707963,0.006282406
0.020943951,0.000121775
0.026179939,7.65039E-07
0.031415927,1.55777E-09
0.036651914,1.02806E-12
0.041887902,2.19902E-16
0.04712389,1.52452E-20
0.052359878,3.43E-25
0.057595865,2.49E-30
0.062831853,5.89E-36
0.068067841,4.51E-42
0.073303829,1.12E-48
0.078539816,8.98E-56
0.083775804,2.34E-63
0.089011792,9.20E-72
0.09424778,-1.18E-72
0.099483767,7.48E-73
0.104719755,4.28E-73
0.109955743,6.95E-73
0.115191731,1.60E-72
0.120427718,-6.42E-73
0.125663706,-3.31E-72
0.130899694,-7.91E-72
0.136135682,-1.92E-72
0.141371669,1.82E-72
0.146607657,5.35E-73
0.151843645,4.44E-72
0.157079633,-5.88E-72
0.16231562,2.67E-72
0.167551608,8.98E-72
0.172787596,2.19E-72
0.178023584,-5.99E-72
0.183259571,7.38E-72
0.188495559,1.69E-71
0.193731547,-1.25E-71
0.198967535,-7.48E-73
0.204203522,4.01E-72
0.20943951,2.51E-72
0.214675498,-6.42E-73
0.219911486,4.28E-72
0.225147474,-5.67E-72
0.230383461,-1.28E-72
0.235619449,-5.56E-72
0.240855437,-3.96E-72
0.246091425,-8.13E-72
0.251327412,-1.02E-71
0.2565634,-1.12E-71
0.261799388,-1.97E-71
0.267035376,-1.28E-72
0.272271363,5.35E-74
0.277507351,-1.07E-72
0.282743339,-4.06E-72
0.287979327,-1.17E-71
0.293215314,-2.12E-71
0.298451302,-1.27E-71
0.30368729,-5.13E-72
0.308923278,-2.25E-72
0.314159265,-7.48E-72
0.319395253,4.28E-72
0.324631241,-2.25E-72
0.329867229,-4.28E-73
0.335103216,-2.89E-72
0.340339204,-8.55E-73
0.345575192,2.62E-72
0.35081118,-1.69E-71
0.356047167,-1.58E-71
0.361283155,-4.38E-72
0.366519143,-2.25E-72
0.371755131,5.72E-72
0.376991118,6.68E-72
0.382227106,-1.17E-71
0.387463094,-1.48E-71
0.392699082,-4.28E-73
0.397935069,3.21E-73
0.403171057,3.31E-71
0.408407045,-5.77E-72
0.413643033,6.58E-72
0.41887902,-5.03E-72
0.424115008,-3.85E-72
0.429350996,-8.45E-72
0.434586984,6.42E-73
0.439822972,-2.78E-72
0.445058959,5.61E-72
0.450294947,-7.48E-73
0.455530935,7.38E-72
0.460766923,-2.35E-72
0.46600291,1.15E-71
0.471238898,-6.63E-72
0.476474886,1.22E-71
0.481710874,-1.71E-72
0.486946861,2.98E-71
0.492182849,-2.46E-72
0.497418837,3.71E-71
0.502654825,-2.01E-71
0.507890812,-6.83E-71
0.5131268,-2.67E-71
0.518362788,5.97E-71
0.523598776,-4.88E-71
0.528834763,4.92E-72
0.534070751,4.28E-72
0.539306739,-6.84E-72
0.544542727,-1.10E-71
0.549778714,1.55E-72
0.555014702,2.66E-71
0.56025069,1.16E-71
0.565486678,-1.61E-71
0.570722665,3.21E-72
0.575958653,-3.42E-72
0.581194641,-3.96E-71
0.586430629,-2.35E-71
0.591666616,2.49E-71
0.596902604,9.78E-72
0.602138592,-4.92E-72
0.60737458,1.36E-71
0.612610567,3.15E-72
0.617846555,4.81E-72
0.623082543,-8.01E-71
0.628318531,-2.34E-71
0.633554518,-9.84E-72
0.638790506,-3.21E-73
0.644026494,-1.44E-71
0.649262482,-1.60E-71
0.654498469,1.61E-71
0.659734457,9.04E-72
0.664970445,-7.91E-72
0.670206433,-1.02E-71
0.675442421,-4.60E-72
0.680678408,4.81E-73
0.685914396,-4.06E-72
0.691150384,-6.42E-73
0.696386372,-3.21E-72
0.701622359,-1.91E-71
0.706858347,-2.35E-71
0.712094335,-1.49E-71
0.717330323,7.91E-72
0.72256631,-5.13E-72
0.727802298,-2.47E-71
0.733038286,2.21E-71
0.738274274,-2.00E-71
0.743510261,2.09E-71
0.748746249,3.67E-71
0.753982237,9.68E-72
0.759218225,7.03E-71
0.764454212,-1.21E-71
0.7696902,-7.91E-72
0.774926188,4.12E-72
0.780162176,-3.56E-71
0.785398163,2.09E-71
0.790634151,1.45E-71
0.795870139,-5.35E-73
0.801106127,2.69E-71
0.806342114,3.29E-71
0.811578102,3.36E-71
0.81681409,2.42E-71
0.822050078,3.74E-72
0.827286065,1.00E-71
0.832522053,-5.67E-72
0.837758041,6.31E-71
0.842994029,1.09E-71
0.848230016,-5.13E-72
0.853466004,-1.41E-71
0.858701992,-1.37E-71
0.86393798,-1.60E-71
0.869173967,5.29E-72
0.874409955,3.35E-71
0.879645943,-9.62E-72
0.884881931,9.20E-72
0.890117919,-6.31E-72
0.895353906,-1.18E-71
0.900589894,-1.02E-71
0.905825882,-4.70E-72
0.91106187,-5.77E-72
0.916297857,-2.75E-71
0.921533845,-7.48E-73
0.926769833,-1.21E-71
0.932005821,2.68E-71
0.937241808,-3.21E-72
0.942477796,-1.60E-72
0.947713784,5.31E-71
0.952949772,6.15E-72
0.958185759,3.36E-71
0.963421747,2.11E-71
0.968657735,-6.36E-71
0.973893723,1.55E-71
0.97912971,-1.17E-71
0.984365698,3.00E-71
0.989601686,6.72E-71
0.994837674,5.90E-71
1.000073661,-1.92E-71
1.005309649,4.22E-72
1.010545637,5.56E-71
1.015781625,-2.36E-71
1.021017612,1.99E-71
1.0262536,-2.40E-71
1.031489588,-2.03E-72
1.036725576,8.50E-72
1.041961563,1.42E-71
1.047197551,6.42E-73
1.052433539,-2.03E-71
1.057669527,-2.43E-71
1.062905514,3.19E-71
1.068141502,2.88E-71
1.07337749,7.00E-72
1.078613478,1.73E-71
1.083849465,1.58E-71
1.089085453,1.93E-71
1.094321441,7.11E-72
1.099557429,3.31E-71
1.104793417,2.38E-71
1.110029404,-9.62E-72
1.115265392,2.82E-71
1.12050138,-1.16E-70
1.125737368,5.35E-73
1.130973355,-1.19E-70
1.136209343,-9.79E-71
1.141445331,-1.79E-71
1.146681319,-5.62E-71
1.151917306,-8.55E-72
1.157153294,2.90E-71
1.162389282,-2.14E-73
1.16762527,5.03E-72
1.172861257,-3.91E-71
1.178097245,6.31E-71
1.183333233,1.04E-71
1.188569221,-3.42E-72
1.193805208,8.04E-71
1.199041196,9.09E-72
1.204277184,3.56E-71
1.209513172,4.49E-72
1.214749159,4.66E-71
1.219985147,-8.34E-72
1.225221135,-2.94E-71
1.230457123,4.86E-71
1.23569311,-1.51E-71
1.240929098,-2.66E-71
1.246165086,6.28E-71
1.251401074,-9.24E-71
1.256637061,9.73E-72
1.261873049,-1.91E-71
1.267109037,-4.68E-71
1.272345025,-1.74E-71
1.277581012,-5.63E-71
1.282817,-3.69E-71
1.288052988,9.24E-71
1.293288976,-8.55E-72
1.298524963,6.31E-72
1.303760951,3.29E-71
1.308996939,1.87E-71
1.314232927,-4.49E-71
1.319468915,-1.62E-70
1.324704902,3.09E-71
1.32994089,-2.59E-71
1.335176878,4.77E-71
1.340412866,1.92E-72
1.345648853,-1.91E-71
1.350884841,-4.66E-71
1.356120829,1.76E-71
1.361356817,5.63E-71
1.366592804,-3.41E-71
1.371828792,-1.79E-70
1.37706478,3.57E-71
1.382300768,1.17E-71
1.387536755,1.44E-71
1.392772743,-2.98E-71
1.398008731,2.56E-71
1.403244719,3.37E-72
1.408480706,-1.42E-71
1.413716694,-5.67E-71
1.418952682,-3.36E-71
1.42418867,2.29E-71
1.429424657,5.82E-71
1.434660645,-3.96E-72
1.439896633,3.93E-71
1.445132621,3.21E-73
1.450368608,-3.46E-71
1.455604596,2.61E-71
1.460840584,6.72E-71
1.466076572,-1.68E-71
1.471312559,2.96E-71
1.476548547,-4.27E-71
1.481784535,4.10E-71
1.487020523,4.13E-71
1.49225651,2.07E-71
1.497492498,6.58E-72
1.502728486,6.04E-72
1.507964474,1.49E-71
1.513200461,1.47E-70
1.518436449,-3.34E-71
1.523672437,1.67E-71
1.528908425,-1.15E-70
1.534144413,3.43E-71
1.5393804,-2.46E-72
1.544616388,-2.03E-72
1.549852376,2.67E-71
1.555088364,-1.39E-71
1.560324351,-3.21E-71
1.565560339,2.53E-71
1.570796327,-4.34E-71
1.576032315,-2.42E-71
1.581268302,6.20E-71
1.58650429,-8.63E-71
1.591740278,-5.14E-71
1.596976266,1.95E-71
1.602212253,4.65E-72
1.607448241,-1.39E-72
1.612684229,-3.36E-71
1.617920217,-5.99E-72
1.623156204,-5.12E-71
1.628392192,1.67E-71
1.63362818,-4.24E-71
1.638864168,0
1.644100155,-5.45E-71
1.649336143,-9.84E-72
1.654572131,1.86E-71
1.659808119,1.06E-71
1.665044106,-5.74E-71
1.670280094,3.21E-73
1.675516082,-1.84E-71
1.68075207,5.98E-71
1.685988057,9.67E-71
1.691224045,-2.14E-73
1.696460033,-5.24E-72
1.701696021,-4.31E-71
1.706932008,-9.52E-71
1.712167996,8.93E-72
1.717403984,-2.01E-70
1.722639972,5.75E-71
1.727875959,6.67E-71
1.733111947,1.99E-71
1.738347935,3.97E-71
1.743583923,4.27E-71
1.74881991,2.59E-71
1.754055898,-7.57E-71
1.759291886,3.06E-71
1.764527874,5.08E-71
1.769763862,3.14E-71
1.774999849,-1.52E-71
1.780235837,-1.52E-71
1.785471825,2.35E-70
1.790707813,2.62E-72
1.7959438,-6.23E-71
1.801179788,-8.30E-71
1.806415776,-9.94E-72
1.811651764,-4.17E-72
1.816887751,4.14E-71
1.822123739,2.24E-70
1.827359727,-1.97E-70
1.832595715,8.02E-73
1.837831702,2.06E-70
1.84306769,-2.91E-71
1.848303678,1.57E-71
1.853539666,2.76E-71
1.858775653,2.79E-71
1.864011641,-6.63E-72
1.869247629,-1.43E-70
1.874483617,-5.29E-71
1.879719604,-1.74E-71
1.884955592,6.62E-71
1.89019158,3.21E-71
1.895427568,-3.71E-71
1.900663555,-1.12E-71
1.905899543,2.21E-70
1.911135531,-2.27E-71
1.916371519,7.47E-71
1.921607506,7.15E-71
1.926843494,-8.45E-72
1.932079482,1.08E-70
1.93731547,-1.48E-71
1.942551457,-5.09E-71
1.947787445,1.03E-71
1.953023433,-1.91E-70
1.958259421,-1.26E-71
1.963495408,-2.79E-71
1.968731396,3.80E-71
1.973967384,-8.73E-71
1.979203372,-3.03E-71
1.98443936,-2.99E-71
1.989675347,1.20E-71
1.994911335,-1.28E-72
2.000147323,-2.49E-71
2.005383311,1.76E-71
2.010619298,2.34E-63
2.015855286,8.98E-56
2.021091274,1.12E-48
2.026327262,4.51E-42
2.031563249,5.89E-36
2.036799237,2.49E-30
2.042035225,3.43E-25
2.047271213,1.52452E-20
2.0525072,2.19902E-16
2.057743188,1.02806E-12
2.062979176,1.55777E-09
2.068215164,7.65039E-07
2.073451151,0.000121775
2.078687139,0.006282406
2.083923127,0.105048373
2.089159115,0.56930806
2.094395102,1
2.09963109,0.56930806
2.104867078,0.105048373
2.110103066,0.006282406
2.115339053,0.000121775
2.120575041,7.65039E-07
2.125811029,1.55777E-09
2.131047017,1.02806E-12
2.136283004,2.19902E-16
2.141518992,1.52452E-20
2.14675498,3.43E-25
2.151990968,2.49E-30
2.157226955,5.89E-36
2.162462943,4.51E-42
2.167698931,1.12E-48
2.172934919,8.98E-56
2.178170906,2.34E-63
2.183406894,-3.35E-71
2.188642882,-1.64E-71
2.19387887,-7.32E-71
2.199114858,-9.52E-72
2.204350845,1.02E-70
2.209586833,3.41E-71
2.214822821,2.18E-71
2.220058809,-7.73E-71
2.225294796,-5.95E-71
2.230530784,1.84E-71
